"Twin","RMSE_mAge_BernabeuE2023c","RMSE_mAge_CBL_common","RMSE_mAge_CBL_specific","RMSE_mAge_Cortex_common","RMSE_mAge_epiTOC2","RMSE_mAge_HannumG2013","RMSE_mAge_HorvathS2018","RMSE_mAge_LevineM2018","RMSE_mAge_LuA2019","RMSE_mAge_LuA2023p1","RMSE_mAge_LuA2023p2","RMSE_mAge_LuA2023p3","RMSE_mAge_McEwenL2019","RMSE_mAge_PCHannumG2013","RMSE_mAge_PCHorvathS2013","RMSE_mAge_PCHorvathS2018","RMSE_mAge_PCPhenoAge","RMSE_mAge_ShirebyG2020","RMSE_mAge_ZhangQ2019","RMSE_mAge_ZhangY2017"
"dizygotic_twinpair_2",2.73541067550344,2.42135782572202,5.15866619028109,8.24456060800373,542.044506585942,8.81670312407347,9.38312004632509,22.7821580752943,37.9155213490021,6.1396247095974,18.3549273182084,12.9018669218041,34.1581795300497,18.8756534607094,12.5235272129772,3.08377806072365,22.4764760768651,9.22883166562842,2.8461128283222,45.3881736891152
"dizygotic_twinpair_20",4.52162444264162,1.65692155852989,12.218082865569,12.2658852149393,1410.74903470899,3.62945673420909,10.3966832805962,22.5859628282231,45.3660394242148,15.442887533877,3.07013037033067,3.04296380009776,32.780041577507,18.4778352161963,2.21756170558623,4.73702649160407,26.752853784582,10.9469873833949,4.6396644526647,52.7267714313359
"dizygotic_twinpair_21",8.5711797377511,12.2011795438441,6.12188717926863,23.5727661527246,925.726467336096,7.56407047154265,7.23302528034411,26.9630976067775,53.8299145335668,19.1681236533136,4.50737096311555,7.58416351146038,38.2947295518157,12.1655272750644,4.53342332087374,7.80474584979728,24.5255276954257,4.52576964411041,9.30724586229601,60.9396972781801
"dizygotic_twinpair_22",14.2162042433305,13.4002956920563,8.70042139842166,20.2760626520411,1005.82611266254,18.9769806045368,4.4170693222828,33.7609365048586,51.5103164545522,14.157869718899,4.06667589480474,5.80393331002352,42.8688634900314,8.13033598682777,4.8946794772714,14.5512361651786,17.8060235948415,3.26011067331078,14.1873318129784,58.6447350907995
"dizygotic_twinpair_23",13.8299404450988,10.8386536452532,2.49143306269661,21.8653995534652,1244.59906916948,7.92633795756414,1.22132166368272,30.480868126897,60.8166767865283,23.0039924679671,5.4122828258268,10.8668675718387,47.2966475217715,6.79312593409511,6.05644302748421,11.9626460506211,17.2641556203891,4.2710049262489,13.50934444386,67.7433357792743
"dizygotic_twinpair_24",8.7497308319731,8.05930579968194,3.38258974488307,18.0133092113276,1861.39065980634,3.87730228449044,7.33437205433633,24.822030046165,55.036749265373,21.3794141015233,4.51744610310692,9.94257591400909,41.2626724348393,16.275374169434,3.36615600004794,1.8185339729734,25.2216797684229,8.27329478457748,9.4323387543998,61.9984305166038
"dizygotic_twinpair_25",9.39679755870822,6.98169883123564,8.03083194423025,19.7398885934613,2023.99568085281,4.27764890602403,6.36819912341724,24.8853018507783,50.7627085514428,22.4229271703818,3.94110591295433,10.5489287480667,38.4101047761484,15.1353347707952,2.27961217211734,8.29235565152567,23.6966455408096,7.18066926773691,7.90197232058132,58.0617793732306
"dizygotic_twinpair_26",5.72129519981989,4.81549678478557,12.3743513846874,14.3972447580098,1363.77075618953,5.65863532261953,3.25496250094529,22.6685709930687,41.3575424120522,15.2243887526772,4.49403630982917,1.54976378995918,31.2443886857174,20.008311145629,1.6311635598944,4.76271249565822,29.4305055280088,7.55548301675048,3.81651986450162,48.7941370288154
"dizygotic_twinpair_27",2.73672018605888,3.71549235058851,21.9580680486725,10.1779690384397,1401.78762823544,16.4482594015605,12.7941223647429,10.3539624975585,33.7653898338025,7.77244559064559,12.5025429706847,3.85384879858729,21.3503776130186,29.7572741049024,8.59969083851315,7.27497810856332,41.4316122228463,15.3560720859463,3.30054340738457,40.8493601127821
"dizygotic_twinpair_28",12.2088695305954,10.6599679096492,1.3352939519363,23.8312945188176,1371.74676187202,6.69202021023549,0.782275711841056,22.727385355374,56.2815467828232,23.4512828439569,6.53335807225367,10.3426147660975,41.9549604157619,12.9122825606333,5.47824022427416,9.38967929998505,21.7454529470431,6.68310638570498,12.5943477025514,63.4229118217391
